iter	Passed	Remaining
0	146	145862
1	148	73860
2	150	49917
3	152	37942
4	154	30728
5	156	25901
6	158	22501
7	160	19918
8	162	17860
9	163	16232
10	165	14889
11	167	13755
12	168	12796
13	170	11997
14	172	11305
15	173	10672
16	174	10111
17	176	9606
18	177	9158
19	178	8754
20	180	8393
21	181	8069
22	183	7775
23	184	7491
24	185	7242
25	187	7006
26	188	6789
27	189	6584
28	191	6400
29	192	6218
30	193	6050
31	194	5893
32	196	5745
33	197	5607
34	198	5475
35	200	5356
36	202	5271
37	208	5288
38	210	5176
39	211	5071
40	212	4972
41	214	4881
42	215	4789
43	216	4701
44	217	4614
45	218	4535
46	219	4459
47	221	4385
48	222	4314
49	223	4246
50	224	4181
51	225	4119
52	227	4065
53	228	4007
54	229	3951
55	231	3895
56	232	3842
57	233	3790
58	234	3739
59	235	3690
60	236	3643
61	237	3598
62	239	3554
63	240	3512
64	241	3474
65	242	3433
66	243	3393
67	244	3355
68	245	3319
69	247	3282
70	248	3246
71	249	3211
72	250	3177
73	251	3146
74	252	3114
75	253	3083
76	254	3052
77	256	3027
78	257	2999
79	258	2974
80	259	2948
81	261	2922
82	262	2896
83	263	2871
84	264	2848
85	265	2824
86	266	2801
87	268	2778
88	269	2760
89	270	2738
90	272	2717
91	273	2696
92	274	2675
93	275	2654
94	276	2634
95	277	2614
96	278	2594
97	279	2575
98	280	2556
99	282	2538
100	283	2522
101	284	2505
102	285	2487
103	286	2470
104	287	2453
105	288	2436
106	289	2419
107	291	2403
108	292	2387
109	293	2371
110	294	2356
111	295	2340
112	296	2327
113	297	2313
114	298	2299
115	300	2287
116	301	2273
117	302	2260
118	303	2246
119	304	2233
120	305	2221
121	306	2209
122	308	2197
123	309	2185
124	310	2173
125	311	2161
126	312	2149
127	313	2137
128	314	2125
129	315	2114
130	317	2102
131	318	2091
132	319	2080
133	320	2070
134	321	2060
135	322	2050
136	323	2040
137	325	2031
138	326	2021
139	327	2011
140	328	2001
141	329	1992
142	330	1983
143	332	1974
144	333	1965
145	334	1956
146	335	1948
147	336	1939
148	337	1930
149	339	1924
150	341	1917
151	342	1909
152	343	1901
153	344	1893
154	345	1885
155	347	1877
156	348	1870
157	349	1862
158	350	1855
159	352	1848
160	353	1844
161	355	1838
162	356	1832
163	357	1824
164	359	1818
165	360	1811
166	361	1805
167	363	1799
168	364	1794
169	366	1788
170	367	1782
171	369	1776
172	370	1770
173	371	1764
174	372	1757
175	374	1751
176	375	1744
177	376	1737
178	376	1728
179	377	1721
180	378	1712
181	379	1707
182	381	1701
183	382	1694
184	383	1688
185	384	1682
186	385	1675
187	386	1669
188	387	1663
189	388	1657
190	389	1651
191	391	1645
192	392	1639
193	393	1634
194	395	1631
195	396	1626
196	397	1622
197	399	1617
198	401	1614
199	402	1610
200	403	1605
201	405	1600
202	406	1595
203	407	1591
204	409	1588
205	411	1586
206	413	1584
207	415	1582
208	417	1579
209	418	1575
210	419	1570
211	421	1565
212	422	1561
213	424	1560
214	426	1555
215	427	1551
216	428	1547
217	429	1542
218	431	1538
219	432	1533
220	433	1529
221	435	1524
